return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS101,NULL,06-06-23,NULL
RS102,IS105,NULL,06-07-23,NULL
RS103,IS103,NULL,08-07-23,NULL
RS104,IS106,NULL,05-01-24,NULL
RS105,IS107,NULL,05-03-24,NULL
RS106,IS108,NULL,05-05-24,NULL
RS107,IS109,NULL,05-07-24,NULL
RS108,IS110,NULL,05-09-24,NULL
RS109,IS111,NULL,05-11-24,NULL
RS110,IS112,NULL,05-13-24,NULL
RS111,IS113,NULL,05-15-24,NULL
RS112,IS114,NULL,05-17-24,NULL
RS113,IS115,NULL,05-19-24,NULL
RS114,IS116,NULL,05-21-24,NULL
RS115,IS117,NULL,05-23-24,NULL
RS116,IS118,NULL,05-25-24,NULL
RS117,IS119,NULL,05-27-24,NULL
RS118,IS120,NULL,05-29-24,NULL
